HUNTSVILLE HOSPITAL,10039,B079-187468,L8279,6113.38,1099 Landhaus HÃƒÆ’Ã‚Â¶reageer
NORTHEAST ALABAMA REGIONAL MED CENTER,36116,B079-625020,S828,34774.21,2333 BIDDLE AVE
SOUTH BALDWIN REGIONAL MEDICAL CENTER,36801,B079-625021,SSS98,48631.78,28050 GRAND RIVER AVENUE
DECATUR GENERAL HOSPITAL,35233,B079-625022,SODI8,32428.96,5301 E HURON RIVER DR
PROVIDENCE HOSPITAL,35801,B079-625023,H02892,42526.4,22101 MOROSS RD
D C H REGIONAL MEDICAL CENTER,35903,B079-625024,HS7929,37699.75,401 W GREENLAWN AVE
THOMAS HOSPITAL,35901,B079-625025,HS7930,27950.95,11800 EAST TWELVE MILE ROAD
BAPTIST MEDICAL CENTER-PRINCETON,36305,B079-625117,G9182,33828.57,ONE GENESYS PARKWAY
TRINITY MEDICAL CENTER,35205,B079-625119,DK928,28576.92,1221 PINE GROVE AVE
MOBILE INFIRMARY,36207,B079-625120,AA8278,21852.91,4000 WELLNESS DRIVE
BROOKWOOD MEDICAL CENTER,36535,B079-625121,AA8279,28561.72,Jôse HARRINGTON BLVD
ALASKA REGIONAL HOSPITAL,35609,B079-625030,AA8280,24047.58,1215 E MICHIGAN AVENUE
BANNER GOOD SAMARITAN MEDICAL CENTER,36608,B079-625031,AA8281,58058.57,5900 BYRON CENTER AVENUE, SW
TUCSON MEDICAL CENTER,35401,B079-625032,HJ01909,16858.45,6245 INKSTER RD
VERDE VALLEY MEDICAL CENTER,36532,B079-625033,KKA901,47876.05,1101 W UNIVERSITY DRIVE
CARONDELET ST  MARYS HOSPITAL,35211,B079-625045,AZ9189,32482.92,44201 DEQUINDRE ROAD
CARONDELET ST JOSEPHS HOSPITAL,35213,B079-625040,AZ9190,31525.53,ONE WILLIAM CARLS DRIVE
YAVAPAI REGIONAL MEDICAL CENTER,36652,B079-625115,AH8640,34741.5,skiÃƒÂ«n OAKDALE NORTH
YUMA REGIONAL MEDICAL CENTER,35209,B079-625059,KJA0190,23228.89,407 E 3RD ST
FLAGSTAFF MEDICAL CENTER,99508,B079-625058,SHD927,25856.23,1216 SECOND STREET WEST
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,85006,B079-625084,ASH 91038,22745.68,1406 6TH AVE NORTH
PHOENIX BAPTIST HOSPITAL,85712,B079-625106,LI09112,42572.59,915 E 1ST ST
SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,86326,B079-625041,AJDH911,28872.77,6500 EXCELSIOR BLVD
BANNER BOSWELL MEDICAL CENTER,85745,B079-625042,SJD8303,28730.95,800 EAST 28TH STREET
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,85711,B079-625043,SJD8304,45617.61,45 üü WEST 10TH STREET
BANNER DESERT MEDICAL CENTER,86301,B079-625073,HSG84,20633.33,6401 FRANCE AVENUE SOUTH
HAVASU REGIONAL MEDICAL CENTER,85364,B079-625074,OL20844,15557.09,301 BECKER AVE SW
SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,86001,B079-625075,SS0395,33416.9,1025 MARSH STREET BOX 8673
BANNER THUNDERBIRD MEDICAL CENTER,85013,B079-625076,SS0396,24836.43,1300 ANNE ST NW
JOHN C LINCOLN DEER VALLEY HOSPITAL,85015,B079-625034,JJA 1739,17997.56,640 JACKSON STREET
BANNER DEL E WEBB MEDICAL CENTER,85251,B079-625035,SHKS 0183,38349.07,4050 COON RAPIDS BLVD
ARROWHEAD HOSPITAL,85351,B079-625036,AAW1039,20525.14,2500 N STATE ST
CARONDELET HEART AND VASCULAR INSTITUTE,85901,B079-625051,CKD00 991,22212.35,830 S GLOSTER
WESTERN ARIZONA REGIONAL MEDICAL CTR,85202,B079-625052,HHS91203,35710.81,611 ALCORN DRIVE
MAYO CLINIC HOSPITAL,86403,B079-625053,HS0019,22593.62,4500 13TH ST-P O BOX 1810
BANNER HEART HOSPITAL,85260,B079-625054,HS0020,19576.38,2100 HWY 61 N
WASHINGTON REGIONAL MED CTR AT NORTH HILLS,85306,B079-625055,HS0021,22095.67,2301 SOUTH LAMAR
ST VINCENT INFIRMARY MEDICAL CENTER,85027,B079-625057,HS0022,33676.3,2809 DENNY AV
MERCY MEDICAL CENTER,85375,B079-625046,HS0023,25897.23,969 LAKELAND DR
ST BERNARDS MEDICAL CTR,85308,B079-625047,HS0024,26232,1314 19TH AVE
"NW ARKANSAS HOSPITALS, LLC",85704,B079-625048,JJA89,23860.63,6051 ššš US HIGHWAY 49
ST JOSEPHS MERCY HEALTH CENTER INC,86442,B079-625049,JJA90,22382.72,5001 W HARDY ST
BAXTER REGIONAL MEDICAL CENTER,85054,B079-625050,JJA91,36539.26,2520 5TH ST N
CONWAY REGIONAL MEDICAL CENTER,85206,B079-625056,AZ9189,19772.92,3901 W 15TH ST
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,72703,B079-625063,AZ9190,9437.52,1225 N STATE ST
ST EDWARD MERCY MEDICAL CENTER,72205,B079-625064,AZ9191,16938.26,2124 14 ST
JEFFERSON REGIONAL MEDICAL CENTER,72758,B079-625065,HJ01909,25106.11,7601 SOUTHCREST DR
NATIONAL PARK MEDICAL CENTER,72401,B079-625066,HJ01910,26619.63,2817 ST JOHNS BLVD
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,72764,B079-625067,KKA901,25252.5,300 1ST CAPITOL DR
NEA BAPTIST MEMORIAL HOSPITAL,71903,B079-625068,KKA902,21765.47,5325 FARAON STREET
WHITE RIVER MEDICAL CENTER,72653,B079-625069,HSG84,25852.4,601 E 14TH ST
ARKANSAS HEART HOSPITAL,72034,B079-625070,OL20844,32063.18,615 NEW BALLAS ROAD
